TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
22.08.2001 00:00:00;28;478;6888.3756;1;0;0.1;0.0998;6876.5078
30.08.2001 00:00:00;41;-365;-7697.4536;2;0;0;-0.1010;-6898.4999
03.09.2001 00:00:00;8;-174;-27343.2587;2;0;0;-0.0884;-6016.0501
04.09.2001 00:00:00;37;-683;-10981.6004;3;0;0.1;-0.1637;-11180.7106
05.09.2001 00:00:00;21;136;6842.0288;1;0;0.1;0.0998;6827.2001
05.09.2001 00:00:00;45;660;6842.0288;1;0;0.1;0.0999;6832.980
05.09.2001 00:00:00;37;-417;-28793.0866;2;0;0;-0.0987;-6755.4003
05.09.2001 00:00:00;33;1782;-41388.8339;3;0;0.2;0.0992;6784.074
11.09.2001 00:00:00;20;-93;-121846.7428;2;0;0;-0.1004;-6533.25
12.09.2001 00:00:00;20;91;6474.5833;1;0;0.1;0.0999;6470.0999
12.09.2001 00:00:00;28;-478;-142541.6348;2;0;0;-0.0987;-6388.4699
17.09.2001 00:00:00;4;-390;-8673.1581;3;0;0.1;-0.0957;-5963.8799
18.09.2001 00:00:00;33;-1864;-7530.6817;3;0;0.1;-0.1077;-6626.520
18.09.2001 00:00:00;4;-407;-23576.9710;2;0;0;-0.0922;-5672.7659
20.09.2001 00:00:00;33;-1730;-21214.7392;2;0;0;-0.1006;-6077.490
20.09.2001 00:00:00;21;-136;-6842.0288;2;0;0;-0.0887;-5358.4002
26.09.2001 00:00:00;45;637;5257.6829;3;0;0.2;0.0982;5938.751
03.10.2001 00:00:00;33;1647;6135.0708;1;0;0.1;0.0999;6131.781
10.10.2001 00:00:00;17;105;6174.3819;1;0;0.1;0.0999;6170.8500
10.10.2001 00:00:00;18;74;6174.3819;1;0;0.1;0.1000;6171.6001
10.10.2001 00:00:00;48;315;6174.3819;1;0;0.1;0.0999;6167.070
10.10.2001 00:00:00;28;432;6174.3819;1;0;0.1;0.1000;6174.1439
10.10.2001 00:00:00;32;157;6174.3819;1;0;0.1;0.0999;6168.5301
10.10.2001 00:00:00;20;74;-237819.3050;3;0;0.2;0.0895;5527.7998
10.10.2001 00:00:00;33;-1647;-48564.5492;2;0;0;-0.0968;-5975.316
24.10.2001 00:00:00;20;94;7882.2226;3;0;0.33;0.1196;7332
24.10.2001 00:00:00;18;-74;-24918.0193;2;0;0;-0.0959;-5879.2998
24.10.2001 00:00:00;17;100;-133182.1898;3;0;0.2;0.0974;5972.0001
24.10.2001 00:00:00;32;-157;-172832.0337;2;0;0;-0.0976;-5986.4102
24.10.2001 00:00:00;28;433;-278996.4476;3;0;0.2;0.1001;6135.1769
24.10.2001 00:00:00;45;-671;-5969.1097;3;0;0.1;-0.1071;-6568.419
29.10.2001 00:00:00;48;-315;-58366.6823;2;0;0;-0.0948;-5664.645
30.10.2001 00:00:00;20;-128;-10759.5686;3;0;0.165;-0.1606;-9216
30.10.2001 00:00:00;17;-99;-6520.9506;3;0;0.1;-0.0931;-5342.0399
01.11.2001 00:00:00;17;-106;-18782.1545;2;0;0;-0.1019;-5887.2401
14.11.2001 00:00:00;16;213;5772.0437;1;0;0.1;0.0999;5768.0400
14.11.2001 00:00:00;14;406;5772.0437;1;0;0.1;0.0998;5763.2918
14.11.2001 00:00:00;3;151;5772.0437;1;0;0.1;0.0995;5745.5499
14.11.2001 00:00:00;21;116;5772.0437;1;0;0.1;0.0996;5751.2802
14.11.2001 00:00:00;4;331;5772.0437;1;0;0.1;0.1000;5770.9848
14.11.2001 00:00:00;28;-432;-6489.1602;3;0;0.1;-0.0997;-5753.8081
14.11.2001 00:00:00;20;18;-19446.4677;3;0;0.2;0.0241;1388.7000
15.11.2001 00:00:00;28;-433;-18750.3641;2;0;0;-0.0953;-5499.5331
19.11.2001 00:00:00;20;-71;-5756.8664;3;0;0.1;-0.0908;-5254
20.11.2001 00:00:00;20;-78;-17300.9538;2;0;0;-0.1007;-5772
21.11.2001 00:00:00;20;76;5709.2482;1;0;0.1;0.0995;5681.00
21.11.2001 00:00:00;46;165;5709.2482;1;0;0.1;0.0996;5689.20
05.12.2001 00:00:00;8;150;5892.8406;1;0;0.1;0.0993;5854.2000
05.12.2001 00:00:00;16;202;-62929.0449;3;0;0.2;0.0972;5726.7001
05.12.2001 00:00:00;45;-626;-18068.8214;2;0;0;-0.0927;-5463.102
05.12.2001 00:00:00;4;273;-41140.3045;3;0;0.2;0.0903;5323.5
05.12.2001 00:00:00;21;-116;-19456.1013;2;0;0;-0.0987;-5817.4002
05.12.2001 00:00:00;14;388;-61245.7107;3;0;0.2;0.0976;5752.9536
05.12.2001 00:00:00;3;-151;-132286.4811;2;0;0;-0.1011;-5959.9702
05.12.2001 00:00:00;46;164;-265989.2840;3;0;0.2;0.0996;5871.2
05.12.2001 00:00:00;20;-76;-40311.1558;2;0;0;-0.1010;-5950.8002
05.12.2001 00:00:00;39;515;5892.8406;1;0;0.1;0.0999;5886.45
19.12.2001 00:00:00;4;319;6775.0585;3;0;0.33;0.1140;6411.9001
19.12.2001 00:00:00;14;-522;-8028.5375;3;0;0.0668;-0.1280;-7199.5806
19.12.2001 00:00:00;46;241;6775.0585;3;0;0.33;0.1394;7839.73
19.12.2001 00:00:00;39;-515;-163710.3966;2;0;0;-0.0971;-5464.15
09.01.2002 00:00:00;14;-272;-19814.2187;2;0;0;-0.0629;-3594.5888
09.01.2002 00:00:00;1;72;5716.3288;1;0;0.1;0.0989;5653.4398
09.01.2002 00:00:00;16;-215;-6446.6301;3;0;0.0934;-0.1000;-5719.0001
23.01.2002 00:00:00;16;-200;-18232.3113;2;0;0;-0.0897;-4900.0
23.01.2002 00:00:00;21;101;5464.2004;1;0;0.1;0.0991;5413.5998
23.01.2002 00:00:00;1;-72;-186720.7672;2;0;0;-0.0931;-5086.0800
23.01.2002 00:00:00;20;66;5464.2004;1;0;0.1;0.0988;5398.8002
23.01.2002 00:00:00;46;-23;372.7145;3;0;0.3465;-0.0146;-796.03
06.02.2002 00:00:00;21;-101;-44376.4030;2;0;0;-0.0978;-5206.5499
06.02.2002 00:00:00;38;294;5326.0059;1;0;0.1;0.0997;5312.58
06.02.2002 00:00:00;8;-150;-60579.3580;2;0;0;-0.1092;-5818.0498
06.02.2002 00:00:00;42;1238;5326.0059;1;0;0.1;0.1000;5325.876
07.02.2002 00:00:00;20;-66;-86086.5120;2;0;0;-0.0898;-4738.8002
20.02.2002 00:00:00;49;260;5166.5398;1;0;0.1;0.1000;5166.20
20.02.2002 00:00:00;42;1136;5007.0736;3;0;0.2;0.0957;4943.872
